Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-01-02,2020,1,2,Thursday,00,2020-00,5.97,6.0,5.92,6.0,237536000,5.97,0.0,5.97,5.97
2020-01-03,2020,1,3,Friday,00,2020-00,5.88,5.95,5.85,5.9,205384000,5.88,-0.016005679213078938,5.925,5.925
2020-01-06,2020,1,6,Monday,01,2020-01,5.81,5.93,5.78,5.93,262636000,5.9,0.004193604369974846,5.916666666666667,5.916666666666667
2020-01-07,2020,1,7,Tuesday,01,2020-01,5.95,6.04,5.91,6.0,314856000,5.97,0.012106601306112186,5.93,5.93
2020-01-08,2020,1,8,Wednesday,01,2020-01,5.99,6.05,5.95,6.01,277108000,5.98,0.0018755898388773673,5.9399999999999995,5.9399999999999995
2020-01-09,2020,1,9,Thursday,01,2020-01,6.1,6.15,6.02,6.08,255112000,6.05,0.010982675125800645,5.958333333333333,5.958333333333333
2020-01-10,2020,1,10,Friday,01,2020-01,6.18,6.21,6.09,6.11,316296000,6.08,0.005349361635856642,5.975714285714285,5.975714285714285
2020-01-13,2020,1,13,Monday,02,2020-02,6.19,6.32,6.17,6.3,319840000,6.27,0.031352479305897685,6.0125,6.0125
2020-01-14,2020,1,14,Tuesday,02,2020-02,6.26,6.28,6.17,6.18,359088000,6.16,-0.01865237382066809,6.028888888888889,6.028888888888889
2020-01-15,2020,1,15,Wednesday,02,2020-02,6.19,6.22,6.11,6.14,263104000,6.11,-0.00691539448870615,6.037,6.037
2020-01-16,2020,1,16,Thursday,02,2020-02,6.19,6.23,6.17,6.22,284192000,6.2,0.013682427294190225,6.051818181818181,6.051818181818181
2020-01-17,2020,1,17,Friday,02,2020-02,6.24,6.25,6.18,6.23,253792000,6.21,0.0014059814805624793,6.065,6.065
2020-01-21,2020,1,21,Tuesday,03,2020-03,6.2,6.23,6.16,6.2,217916000,6.17,-0.005375459243291192,6.073076923076924,6.073076923076924
2020-01-22,2020,1,22,Wednesday,03,2020-03,6.24,6.34,6.22,6.25,239240000,6.23,0.008752154415393676,6.0842857142857145,6.0842857142857145
2020-01-23,2020,1,23,Thursday,03,2020-03,6.29,6.33,6.2,6.32,244516000,6.3,0.010995217343125585,6.107857142857143,6.098666666666667
2020-01-24,2020,1,24,Friday,03,2020-03,6.44,6.49,6.21,6.26,373512000,6.24,-0.009412276400772912,6.133571428571429,6.1075
2020-01-27,2020,1,27,Monday,04,2020-04,5.96,6.06,5.81,6.01,470536000,5.98,-0.04104119872067702,6.139285714285714,6.1000000000000005
2020-01-28,2020,1,28,Tuesday,04,2020-04,6.07,6.23,6.02,6.2,310976000,6.17,0.032348033909095575,6.153571428571429,6.103888888888889
2020-01-29,2020,1,29,Wednesday,04,2020-04,6.18,6.22,6.1,6.14,258848000,6.11,-0.009799563511205145,6.162857142857143,6.104210526315789
2020-01-30,2020,1,30,Thursday,04,2020-04,6.04,6.16,5.99,6.15,290504000,6.12,0.0010996421502189602,6.167857142857143,6.1049999999999995
2020-01-31,2020,1,31,Friday,04,2020-04,6.1,6.11,5.87,5.91,370420000,5.89,-0.03815962352932378,6.154285714285714,6.094761904761905
2020-02-03,2020,2,3,Monday,05,2020-05,5.89,6.03,5.89,6.01,255564000,5.98,0.01649547407354124,6.133571428571429,6.089545454545455
2020-02-04,2020,2,4,Tuesday,05,2020-05,6.15,6.2,6.1,6.18,271544000,6.15,0.028294228415733702,6.132857142857143,6.092173913043479
2020-02-05,2020,2,5,Wednesday,05,2020-05,6.3,6.31,6.19,6.27,208220000,6.24,0.01468862527869308,6.142142857142857,6.098333333333334
2020-02-06,2020,2,6,Thursday,05,2020-05,6.3,6.36,6.22,6.36,218284000,6.33,0.013917566995634623,6.15142857142857,6.1076
2020-02-07,2020,2,7,Friday,05,2020-05,6.32,6.34,6.26,6.29,189752000,6.26,-0.010461890093465875,6.155,6.113461538461538
2020-02-10,2020,2,10,Monday,06,2020-06,6.31,6.57,6.31,6.57,529608000,6.55,0.045232326608171114,6.182142857142857,6.12962962962963
2020-02-11,2020,2,11,Tuesday,06,2020-06,6.68,6.81,6.62,6.7,638556000,6.67,0.018709443595187114,6.213571428571428,6.148928571428572
2020-02-12,2020,2,12,Wednesday,06,2020-06,6.75,6.82,6.71,6.81,374644000,6.79,0.017357715480007307,6.248571428571429,6.171034482758621
2020-02-13,2020,2,13,Thursday,06,2020-06,6.76,6.84,6.73,6.77,528016000,6.74,-0.006457735212686666,6.284285714285715,6.1899999999999995
2020-02-14,2020,2,14,Friday,06,2020-06,7.18,7.37,7.15,7.24,1041924000,7.21,0.07020454888355387,6.372142857142856,6.222903225806451
2020-02-18,2020,2,18,Tuesday,07,2020-07,7.14,7.43,7.12,7.41,620164000,7.38,0.02339610280640736,6.458571428571429,6.2590625
2020-02-19,2020,2,19,Wednesday,07,2020-07,7.54,7.89,7.54,7.87,694332000,7.83,0.06113242573218347,6.581428571428572,6.306666666666667
2020-02-20,2020,2,20,Thursday,07,2020-07,7.82,7.91,7.41,7.72,810052000,7.69,-0.019065684215087808,6.693571428571429,6.347352941176471
2020-02-21,2020,2,21,Friday,07,2020-07,7.6,7.63,7.27,7.35,768180000,7.32,-0.04739240131228717,6.795714285714287,6.3751428571428574
2020-02-24,2020,2,24,Monday,08,2020-08,6.75,7.05,6.7,6.83,856916000,6.8,-0.07069763376394667,6.854285714285715,6.3869444444444445
2020-02-25,2020,2,25,Tuesday,08,2020-08,6.91,6.97,6.45,6.55,1055496000,6.52,-0.04109308403941592,6.880714285714285,6.39054054054054
2020-02-26,2020,2,26,Wednesday,08,2020-08,6.55,6.89,6.55,6.69,747732000,6.66,0.021369851839816212,6.910714285714286,6.397631578947369
2020-02-27,2020,2,27,Thursday,08,2020-08,6.37,6.68,6.22,6.32,906416000,6.29,-0.0556656529973375,6.907857142857144,6.394871794871795
2020-02-28,2020,2,28,Friday,08,2020-08,6.06,6.81,6.04,6.75,1133252000,6.73,0.06916073929036992,6.941428571428572,6.40325
2020-03-02,2020,3,2,Monday,09,2020-09,6.92,6.94,6.53,6.91,890744000,6.89,0.02354961280457757,6.965714285714285,6.415121951219512
2020-03-03,2020,3,3,Tuesday,09,2020-09,6.97,7.03,6.56,6.65,652792000,6.62,-0.03812894695895164,6.962142857142857,6.42
2020-03-04,2020,3,4,Wednesday,09,2020-09,6.76,7.12,6.68,7.11,597408000,7.09,0.07002885877600962,6.9835714285714285,6.435581395348837
2020-03-05,2020,3,5,Thursday,09,2020-09,6.91,7.08,6.79,6.83,540328000,6.81,-0.03943637447587589,6.988571428571428,6.444090909090909
2020-03-06,2020,3,6,Friday,09,2020-09,6.65,6.71,6.45,6.65,515412000,6.63,-0.026528503956333105,6.9471428571428575,6.448222222222222
2020-03-09,2020,3,9,Monday,10,2020-10,6.0,6.49,5.95,6.14,614160000,6.11,-0.07743198489362246,6.856428571428571,6.440869565217392
2020-03-10,2020,3,10,Tuesday,10,2020-10,6.41,6.53,6.15,6.53,580648000,6.5,0.063722092255321,6.761428571428572,6.442127659574469
2020-03-11,2020,3,11,Wednesday,10,2020-10,6.39,6.41,6.06,6.16,499964000,6.14,-0.055959634337032216,6.650714285714286,6.435833333333334
2020-03-12,2020,3,12,Thursday,10,2020-10,5.64,5.9,5.39,5.41,816540000,5.39,-0.1223678977362086,6.5128571428571425,6.414489795918367
2020-03-13,2020,3,13,Friday,10,2020-10,5.76,6.03,5.49,6.02,634836000,6.0,0.1134021156815277,6.4557142857142855,6.4062
2020-03-16,2020,3,16,Monday,11,2020-11,5.31,5.65,4.85,4.91,726972000,4.89,-0.18452086071589835,6.339285714285714,6.384599999999999
2020-03-17,2020,3,17,Tuesday,11,2020-11,5.02,5.52,4.78,5.43,833632000,5.41,0.1062628445827658,6.25,6.3751999999999995
2020-03-18,2020,3,18,Wednesday,11,2020-11,5.0,5.25,4.52,5.07,874268000,5.05,-0.06650731302304158,6.161428571428571,6.3582
2020-03-19,2020,3,19,Thursday,11,2020-11,5.05,5.42,4.83,5.32,765512000,5.31,0.05004431577825752,6.0600000000000005,6.345
2020-03-20,2020,3,20,Friday,11,2020-11,5.47,5.76,5.13,5.14,804636000,5.13,-0.03390130467968311,5.934285714285714,6.328
2020-03-23,2020,3,23,Monday,12,2020-12,5.14,5.41,4.96,5.32,643876000,5.3,0.033730292929778694,5.840000000000001,6.313
2020-03-24,2020,3,24,Tuesday,12,2020-12,5.72,6.32,5.7,6.23,1101644000,6.21,0.1715641852690415,5.777142857142857,6.315600000000001
2020-03-25,2020,3,25,Wednesday,12,2020-12,6.34,6.55,6.09,6.14,793432000,6.12,-0.014286745868046347,5.727857142857142,6.3126
2020-03-26,2020,3,26,Thursday,12,2020-12,6.35,6.56,6.25,6.43,696108000,6.41,0.047308831963407405,5.712142857142857,6.3176
